"Notes"	"Vaccine"	"Vaccine Code"	"Year Died"	"Year Died Code"	"Year Reported"	"Year Reported Code"	Events Reported	Percent
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"2012"	"2012"	"2012"	"2012"	1	0.00%
"Total"	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"2012"	"2012"			1	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"2012"	"2012"	14	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"2013"	"2013"	21	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"2014"	"2014"	14	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"2015"	"2015"	10	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"2016"	"2016"	19	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"Unknown Date"	"9999"	41	0.01%
"Total"	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"			119	0.02%
"Total"	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"					120	0.02%
	"ADENOVIRUS (NO BRAND NAME)"	"101"	"No Death"	"9998"	"1992"	"1992"	1	0.00%
	"ADENOVIRUS (NO BRAND NAME)"	"101"	"No Death"	"9998"	"1993"	"1993"	1	0.00%
"Total"	"ADENOVIRUS (NO BRAND NAME)"	"101"	"No Death"	"9998"			2	0.00%
"Total"	"ADENOVIRUS (NO BRAND NAME)"	"101"					2	0.00%
	"ADENOVIRUS (TYPE 4, NO BRAND NAME)"	"41"	"No Death"	"9998"	"1993"	"1993"	1	0.00%
	"ADENOVIRUS (TYPE 4, NO BRAND NAME)"	"41"	"No Death"	"9998"	"Unknown Date"	"9999"	2	0.00%
"Total"	"ADENOVIRUS (TYPE 4, NO BRAND NAME)"	"41"	"No Death"	"9998"			3	0.00%
"Total"	"ADENOVIRUS (TYPE 4, NO BRAND NAME)"	"41"					3	0.00%
	"ADENOVIRUS (TYPE 7, NO BRAND NAME)"	"40"	"No Death"	"9998"	"1993"	"1993"	1	0.00%
	"ADENOVIRUS (TYPE 7, NO BRAND NAME)"	"40"	"No Death"	"9998"	"2000"	"2000"	1	0.00%
	"ADENOVIRUS (TYPE 7, NO BRAND NAME)"	"40"	"No Death"	"9998"	"Unknown Date"	"9999"	3	0.00%
"Total"	"ADENOVIRUS (TYPE 7, NO BRAND NAME)"	"40"	"No Death"	"9998"			5	0.00%
"Total"	"ADENOVIRUS (TYPE 7, NO BRAND NAME)"	"40"					5	0.00%
